slug,image_title,src,decision,target,confidence
coefficient-of-drainage,C_d values observed for different foundation layer support materials,assets/coefficient-of-drainage/c9e1a18b01e1b42a317f3fbc30920fe20a14746b69555cd6e9a96a4ead7b3840.jpg,relocated,Comparative Analysis of Cd Values,unanimous
coffee-cup-test,Semi-adiabatic calorimeter–IQ drum (www.quadreliservice.com),assets/coffee-cup-test/b549d5c89af8e90ed5b34227dd1379136d8c9bac1c7a461e1775e43fd95ad531.jpg,relocated,Overview and History,majority
composite-modulus-of-subgrade-reaction,Boxplots of Static k_c o m p - F W D - C o r r and k_c o m p - D C P values for different foundation layer support conditions,assets/composite-modulus-of-subgrade-reaction/a928bb72dd0ae5f26107a575ded7768057c872a8c41f399549324b4e38e3d757.jpg,discarded,,single-judge
concrete-materials-and-mixtures,Initial Set versus Portland Cement Content,assets/concrete-materials-and-mixtures/ad1bdeed43aa9759f2cc42f38dde19b4a7e340700a9200464772bfb62ff720e3.jpg,relocated,Cementitious Chemistry And Hydration,majority
construction-and-equipment,Gomaco 2800 Commander slipform paver,assets/construction-and-equipment/51e212bdad13ab10f27b2dfacb09e021729647c4a000be67ce217dd21fa0509c.jpg,relocated,Related concepts,sole-subsection
contact-angle-measurement,presents the water contact angle results as a function of water absorption. θ vs 5 hrs. absorption,assets/contact-angle-measurement/7623ff6c5cc729f6ca5432eb12a0f3219868f0623b00bd071b808db2f414db19.jpg,relocated,Contact Angle Test Protocol,majority
continuous-deflection-testing,The Rolling Weight Deflectometer travels at highway speeds while collecting deflection response data. Figure 2.14. Illustration of Rolling Weight Deflectometer (RWD),assets/continuous-deflection-testing/33461c33dde56da7006774131662c737b53b3fb578be1e1e4c5b2ae4d6e4d6f1.jpg,relocated,High Speed Operational Methods,majority
core-hole-permeameter,Core hore permeability testing in situ,assets/core-hole-permeameter/d5a769f3b383869041044184c4e17664801dff078503132bda23750ea8a4c095.jpg,relocated,Testing Procedure and Equipment Requirements,unanimous
curling-and-warping,Recorded environmental conditions,assets/curling-and-warping/d683669a03a65383a2ba71c23e42161e81425ea6e796a13b54b0cf104cdb87fc.jpg,discarded,,none
curvature-iri,"Curvature Degree vs. Shrinkage Equivalent (d) Figure 49. Shrinkage equivalent temperature difference versus (a) curvature IRI, (b) deflection, (c) deflection ratio, (d) degree of curvature",assets/curvature-iri/bde030a7515d85004f1046157e044c0117442b15c952c156c26c0d264c5a6cf7.jpg,relocated,Statistical Analysis of Design Parameters,unanimous
d-cracking,P1 DESCRIPTION: Concentrated microcracking within a coarse aggregate particle bisected by the joint crack and located at below 95mm depth in the core. 5x,assets/d-cracking/f4221a6b3131952d504641f36b7521595d05e24cbeb939ad6bdd912abbac20c3.jpg,relocated,Visual Identification and Field Detection,majority
datum-temperature,Effect of datum temperature on the strength-TTF-time correlation,assets/datum-temperature/f0316797dca3c5621dbb29dd71d1f1c5ffb8804c25063a81b865de2c67c048c8.jpg,relocated,Consistency Requirements in Strength-Time Correlations,majority
deflection-ratio,"Multiple linear regression modelss prediction results for county roads and city streets: (a) curvature IRI, (b) deflection, (c) deflection ratio, (d) degree of curvature",assets/deflection-ratio/299a8e9f02a076cb630127081044c427b93c5dd7d670530d9100bb675d373b54.jpg,relocated,Comparative Analysis of Section Types,majority
deflection-testing,The Rolling Weight Deflectometer travels at highway speeds while collecting deflection response data. Figure 2.14. Illustration of Rolling Weight Deflectometer (RWD),assets/deflection-testing/33461c33dde56da7006774131662c737b53b3fb578be1e1e4c5b2ae4d6e4d6f1.jpg,discarded,,single-judge
degree-of-curvature-curling,2GCI algorithm flowchart,assets/degree-of-curvature-curling/ea5d1cb3fac647e746f1c2deafedb12544bc7fb372d301baff5161c53d7cb13e.jpg,relocated,Calculation Methodology,unanimous
degree-of-saturation,"Degree of saturation for concrete specimens: mAir (top left), mOXY (top right), and mDcrack (bottom)",assets/degree-of-saturation/a0e29b80f232b8ffeaf2d4a265982faacb76938d9965d5c3f3a6dc87e108b36e.jpg,relocated,Evaluation of Sealer Effectiveness,unanimous
demec-points,DEMEC points in the “peacock” pattern,assets/demec-points/842f1ff6690f35f6de4872e35ffefae17c8f4960e4cc497cbc6263d722833e67.jpg,relocated,Surface Strain and CTE Estimation,unanimous
dewar-test,Lafarge basket test setup,assets/dewar-test/a96e7a5444398e209ee6116666796df96b7d7a0e139e53d50f29aad70a648d2c.jpg,relocated,Test Setup and Sample Specifications,majority
diamond-grinding,Texture after diamond grinding,assets/diamond-grinding/6f65470e03e712b15906f1f76babe1e20a655d1ddf0189db0b3ddca613404e16.jpg,relocated,Pavement Texture and Friction Relationship,majority
diplomat,Layout of full-depth flexible pavement systems,assets/diplomat/669d879d4db64d60a4e21bd1e5ce330a92190f34658364e63b68164b42b4e991.jpg,discarded,,none
dipstick-profiler,Inclinometer profiling,assets/dipstick-profiler/1c47371b247ee110c421454370776cf746170136cd7e864959f49ae0d90463c0.jpg,relocated,Dipstick® Profiling Methodology,unanimous
dowel-bar,Load test frame,assets/dowel-bar/8574f2284353d298c0ce9c22db5c881744afb9da6c1985fb5a9962ad764507a5.jpg,discarded,,single-judge
dowel-basket-ripple,Roughness caused by a broken string line,assets/dowel-basket-ripple/08903b2ffb681c314677b0b1537bebbaa4c5c962e3162308f81c9381b5448aca.jpg,relocated,Dowel Basket Ripple Characteristics,majority
durability-and-materials-related-distress,F-T test setup,assets/durability-and-materials-related-distress/9373beb8d9d721d576b64be768162a4e726fae675c2d4aa8b73ea0b94e53f88b.jpg,relocated,Detection And Testing Methods,majority
early-age-behavior-curing-and-distress,Diurnal slab curvature,assets/early-age-behavior-curing-and-distress/8ed403946a72bd3e5debd62207dd9b221af0bdad329a5322de241bb849cf70f4.jpg,discarded,,none
electrical-conductivity-concrete,Conductivity Curves and Boundaries,assets/electrical-conductivity-concrete/0a83e23746dfab39e1a22110a267af60f7b52468fb7a43278e3fea6ee541b09b.jpg,relocated,Conductivity Behavior During Hydration,majority
electromagnetic-and-thermal-methods,Illustration of Directing NDT at Different Levels of Investigation,assets/electromagnetic-and-thermal-methods/f292e720538f815a74907bd315a1869acede8c2e90fab8ec90e7206eedcc8353.jpg,discarded,,single-judge
equivalent-temperature-difference,Typical temperature variation profile throughout a slab,assets/equivalent-temperature-difference/99110f4306b0a606b0a6fe8c22887a3fce93d8f7b6685bb30701852da7c616db.jpg,relocated,Components of Total Temperature Difference,unanimous
ettringite-fill,"#2 DESCRIPTION: Much of the finer air voidspaces in the concrete paste, proximate to the joint distress and at 55mm depth in the core, are filled with secondary ettringite 5x",assets/ettringite-fill/f97ce04dab4b716216648ed40a1212110078b93ace157eb88980e7a463d41250.jpg,discarded,,single-judge
falling-weight-deflectometer,Durability cracking vs. Pavement Condition Index,assets/falling-weight-deflectometer/0fe3f25c8bb9ebc0716a816832ae25f6dc057d7bf3c2f9b85e9fb6d6fcc7f853.jpg,discarded,,single-judge
falling-weight-deflectometer,Southbound lane overlay paving,assets/falling-weight-deflectometer/13bea1e8a3be84baaaacd67eccee641c976fa4f709974a7296b7b7856c1fc1b5.jpg,relocated,Overlay Design Verification and Structural Analysis,majority
falling-weight-deflectometer,Schematic of curling in PCC pavements,assets/falling-weight-deflectometer/55618cdec9f781ed4bb3adb12c501cb7d7303c095cc9ea9992990737fb9f81fb.jpg,discarded,,single-judge
falling-weight-deflectometer,Schematic of FWD deflection sensors,assets/falling-weight-deflectometer/80cea4770cca9cdfac22b388d21814320d312240c691a4a4603ae7d02732de5c.jpg,relocated,"Testing Protocols, Load Levels, and Locations",majority
falling-weight-deflectometer,Typical temperature variation profile throughout a slab,assets/falling-weight-deflectometer/99110f4306b0a606b0a6fe8c22887a3fce93d8f7b6685bb30701852da7c616db.jpg,discarded,,single-judge
falling-weight-deflectometer,Example of composite pavement deflected shape (9-kip load) (cross-section view—exaggerated scale),assets/falling-weight-deflectometer/a01bea50d531c4c6da88298b874c4ad84b006b403f078113e4640b2b317a4187.jpg,relocated,Deflection Basin Analysis and Modeling Techniques,majority
falling-weight-deflectometer,Temperature differentials applied to the composite pavement,assets/falling-weight-deflectometer/d086601d46ad6de1b466d0de50fbac25d9ec4e6dc49bec5ad682c0c0c4c5aba5.jpg,discarded,,single-judge
falling-weight-deflectometer,Maximum deflections—varying widening unit depths (9-kip load),assets/falling-weight-deflectometer/f0cf5e10d226b40e8b32321932b96e00066b5d4038f206456da4e8a3cc3aff1e.jpg,discarded,,single-judge
falling-weight-deflectometer,Schematic diagram of directions for a PCC slab,assets/falling-weight-deflectometer/f17b7405f097086cb37dced205601dc4cd0a2dd7332ee92b57071e185960d8c4.jpg,discarded,,single-judge
falling-weight-deflectometer,"County Roads and City Streets, Slab Thickness Effect (a)",assets/falling-weight-deflectometer/f18457c169f18f57cdbc5e66481c684c416d153a5bef249cd6ce180901fb7dd8.jpg,relocated,Pavement Condition Assessment: Rubblized and Cracked Sections,majority
fiber-reinforced-concrete,"Flexural strengths of hybrid FRC with PP, AR glass, and PVA macrofibers",assets/fiber-reinforced-concrete/932b72a3ff3f0e5a6ae238a9c9c6dfbef0f5cbdb1b4ff7b64465582815af41db.jpg,relocated,Key Performance Properties,majority
freeze-thaw-durability,presents the amount of potential CaOXY formation in the treated concrete discs immersed in the salt solutions as determined by LT-DSC in accordance with AASHTO T 365. Figure 12. Potential CaOXY formation results,assets/freeze-thaw-durability/87a5a7468738b14cdd65132dc465426d8adcc5377ee8f64eebb49e93803838cd.jpg,relocated,Pervious Concrete Freeze-Thaw Durability,unanimous
freeze-thaw-durability,Air (gas) permeability index for concrete,assets/freeze-thaw-durability/91279f90eea48bc99078b48763776f423cd179062b733bacd80597f5cf2bcc90.jpg,relocated,Pervious Concrete Freeze-Thaw Durability,majority
fresh-concrete-workability-and-mixing,"Workability Factor vs. Coarseness Factor for all States, Combined Gradation",assets/fresh-concrete-workability-and-mixing/b108c1384b879b6025471046aaa88696a5385ed3d6feda2f8aba46a21679c346.jpg,relocated,Workability Characteristics,unanimous
gomaco-smoothness-indicator,"Continuous roughness report, driving lane inside track",assets/gomaco-smoothness-indicator/2f420bccfb89884d54b2abb599460fb7951beb12d81b6b84e8902c90ed0a2723.jpg,discarded,,single-judge
ground-granulated-blast-furnace-slag,Bulk chemical composition ranges for some common supplementary cementitious materials (from reference 5),assets/ground-granulated-blast-furnace-slag/1f874009fd959f2737ce8857d54af22ebf03101f868875810880490ec93f8f38.jpg,relocated,Classification,majority
ground-penetrating-radar,Illustration of Directing NDT at Different Levels of Investigation,assets/ground-penetrating-radar/f292e720538f815a74907bd315a1869acede8c2e90fab8ec90e7206eedcc8353.jpg,discarded,,single-judge
heat-of-hydration,Effect of w/c ratio on the heat evolution (RILEM 42-CEA 1981),assets/heat-of-hydration/c4b3bb6c88efa5bbabc20497ba581cbd12cecebf3bffd5871f90c39073dbde44.jpg,relocated,Chemical Factors Influencing Hydration,unanimous
heat-signature,Characterization of a typical heat evolution curve,assets/heat-signature/ee03814f81312999684d4cb23e38247af2cdc23078aa0b355960c6b7eead3ba8.jpg,relocated,Heat Evolution Indexes and Parameters,unanimous
high-shear-mixing,Effect of mixing methods on peak stress of cement paste,assets/high-shear-mixing/0f5736d62544f441282583fcbb0e50800fc623f5a02adb872bcd38301639dbf9.jpg,relocated,Rheological Properties and Flowability,unanimous
high-speed-rigid-pavement-analyzer,Seismic Pavement Analyzer (SPA),assets/high-speed-rigid-pavement-analyzer/9322eed150567c63a19a8b115754eab784439a870cdf3e3f5d180745c644e858.jpg,discarded,,single-judge
high-speed-rigid-pavement-analyzer,Camera captures fault movement on order of 10 mils,assets/high-speed-rigid-pavement-analyzer/e3f5ea0d596544be2102d618eb03052ec2b48b0ec4a964aa5809b0530f6a5db1.jpg,discarded,,none
hiperpav,Temperature differentials applied to the composite pavement,assets/hiperpav/d086601d46ad6de1b466d0de50fbac25d9ec4e6dc49bec5ad682c0c0c4c5aba5.jpg,relocated,Thermal Behavior and Cracking Risk Factors,majority
hydration-heat-and-maturity,Effect of curing temperature on heat of hydration (Type I cement),assets/hydration-heat-and-maturity/e1c3bebb87b2326c8761e7eeaf771b88275347149cb758e64867c7accacb0789.jpg,relocated,Cement Hydration Kinetics,unanimous
illi-pave,Pavement geometry and finite element mesh used for the ILLI-PAVE runs,assets/illi-pave/0d8cc9cbbc899b0b5a399b30cc10c9da9ac2dc8b644cae8179636b60b83ac5be.jpg,relocated,Convergence Study and Boundary Conditions,majority
impact-echo,Illustration of Spectral Analysis of Surface Waves Technique (from ref. 17),assets/impact-echo/a02f07b4d15f3f74474b0b5340ac19e7f314514cea16898b4ded7406709ce6df.jpg,discarded,,single-judge
inclinometer-profiling,Inclinometer profiling levels and paths,assets/inclinometer-profiling/beba3c22e43858a24127825d6027fce2850f377ca71220d760fe99cea73b71f4.jpg,relocated,Profile Patterning Levels,unanimous
infrared-thermography,Heat flow outward results in “Cold” spot above flaw Figure 8. Illustration of the Principle behind Infrared Thermography (from ref. 18),assets/infrared-thermography/18a27094fc1e946176a3e24443744f7328735b57eaa554ea13efc969dd0e1d27.jpg,discarded,,single-judge
infrared-thermography,Illustration of Directing NDT at Different Levels of Investigation,assets/infrared-thermography/f292e720538f815a74907bd315a1869acede8c2e90fab8ec90e7206eedcc8353.jpg,relocated,Overview of Infrared Thermography in Concrete Inspection,majority
initial-set,(b). Conventional sawing time versus initial set from UPV measurements,assets/initial-set/9cec4573ad826b19743ba71f2066e3cac448d6fdc14fb7631e2cea5f89f44917.jpg,relocated,Relationship Between Initial Set and Sawing Time,unanimous
interfacial-transition-zone,Cracks concentrated adjacent to the coarse aggregate in FG1,assets/interfacial-transition-zone/070f9ff8656cfff4c843bc2fda293f79900f6efa36c570111b9749c82201746f.jpg,relocated,Overview of the Interfacial Transition Zone (ITZ),majority
islab2000,Pavement geometry and finite element mesh used for the ILLI-PAVE runs,assets/islab2000/0d8cc9cbbc899b0b5a399b30cc10c9da9ac2dc8b644cae8179636b60b83ac5be.jpg,relocated,Structural Modeling and Element Types,majority
isothermal-calorimeter,Heat of hydration with specific surface varied (adapted from Lerch et al. 1946),assets/isothermal-calorimeter/db330fda4f9b8e4fc1f66bb4bdfd5ca945af4f7a0984f2de97f23a5e641bc3ee.jpg,discarded,,single-judge
joints-dowels-and-load-transfer,PHOTO: 8 P1 DESCRIPTION: Sawcut and lapped cross section of core taken through joint. Microcracking is mapped in red ink. Note mass lost along the joint crack and cracking within the coarse aggregate particle bisected by the joint.,assets/joints-dowels-and-load-transfer/f8aa9d5b5b16798d506251e382c87d8849992d625302ab9b7bc0b260b6bc94a1.jpg,relocated,Joint Types And Construction,majority
jri-plus-joint,JRI+ joint before concrete placement,assets/jri-plus-joint/b496f1d4a71dade7029265679d95b2e4059d36ee112a3d36d54e40ba7f632005.jpg,relocated,Configuration,majority
longitudinal-joint-forming-knife,Pavement where a crack had formed along the longitudinal joint,assets/longitudinal-joint-forming-knife/246ff869127b365a314d959398f8e6d42825d86fb9a5923c6871d25842bc3815.jpg,discarded,,none
longitudinal-joint-forming-knife,Longitudinal Joint Forming Knife,assets/longitudinal-joint-forming-knife/a473ab4c423415685f4f1701a7f5f4343d402fc45a686646b2a66eb8ab8b285b.jpg,relocated,Redesign by Bob Steffes,majority
longitudinal-joint-forming-knife,Typical Cross Section for the Iowa Highway 13 Project,assets/longitudinal-joint-forming-knife/a4ee5e88f98e444a55b4548f99cf2026aec7df86018390a03a9412c22e2ae10b.jpg,discarded,,none
longitudinal-joint-forming-knife,Longitudinal joint–forming knife,assets/longitudinal-joint-forming-knife/e5e12fabd434d20ac84f3e5b715b158616c71ab0e7e14fc6a1871de16d61b4c6.jpg,discarded,,single-judge
loss-of-support,Boxplots of Static k_c o m p - F W D - C o r r and k_c o m p - D C P values for different foundation layer support conditions,assets/loss-of-support/a928bb72dd0ae5f26107a575ded7768057c872a8c41f399549324b4e38e3d757.jpg,relocated,Introduction to Loss of Support (LOS),majority
materials-related-distress,Bottom of Core 3 (joint),assets/materials-related-distress/51c6adf8505610eb08f851162222e985588915a52e7f31b432cd6a2811e7eef8.jpg,discarded,,single-judge
materials-related-distress,High water-cement ratio and cracking left half of the cold joint,assets/materials-related-distress/e4ffda184f67c5760df47c3a4122e6c9d7b71a87ecaa04ca177f895a7c9568c8.jpg,discarded,,single-judge
maturity-method,Pavement layers and the dates of construction,assets/maturity-method/9fd2f11f891ce1288d1b40fbdd4470956dde6e5c9e0ea10a3e63a50e0a68072a.jpg,relocated,"Patching, Overlays, and Field Applications",majority
mco-suite,The Mobile Lab Parked Curbside,assets/mco-suite/5c94c8aa308d64b633c9e9ca46693f1200cb46e79b36adda7665bb4d9b341014.jpg,discarded,,none
mco-suite,Final Set versus Portland Cement Content,assets/mco-suite/839accd77b0101da9fe1876f348b9dd4fa702412e023da970b2fc9dd07541b66.jpg,discarded,,single-judge
mobile-concrete-research-lab,Inside the Mobile Lab,assets/mobile-concrete-research-lab/e5d3a75f8ed9f3989fa800b2607019eab1f9156667d14ef24f7d0c1e6a870a5e.jpg,relocated,Overview of Mobile Laboratory Role,majority
modulus-of-subgrade-reaction,Determination of average CBR of top 12 in. of subgrade and CBR of the “weak” layer within the subgrade,assets/modulus-of-subgrade-reaction/220f12faacfe4ce9e85d6a079f69f345c370841d45956abf8a4c688aa27fc6ec.jpg,relocated,Relationship Between k-Value and CBR,majority
modulus-of-subgrade-reaction,σB versus M_r for subbase and subgrade composite sample,assets/modulus-of-subgrade-reaction/5852950bc7f4ed666dc9820fc44d6c2c311f4df8e1a038a48468eef946a0a061.jpg,relocated,I-96 Subgrade Resilient Modulus,majority
noise-zones,13 . Average OBSI levels measured on drag texture sections,assets/noise-zones/ff53da6fef84e189944f2e065fd5bdc0790f84d71a70c866486df8f8a9304f86.jpg,discarded,,single-judge
nondestructive-testing-and-evaluation,Common Methods Available for Nondestructive Testing (adapted from ref. 10),assets/nondestructive-testing-and-evaluation/1b7dfe533413844cba6b6220d065c6e4653cef1e44c1710af04e3bda463d23a6.jpg,relocated,Related concepts,sole-subsection
pavement-analysis-software,Pavement geometry and finite element mesh used for the ILLI-PAVE runs,assets/pavement-analysis-software/0d8cc9cbbc899b0b5a399b30cc10c9da9ac2dc8b644cae8179636b60b83ac5be.jpg,relocated,Finite Element Modeling Techniques,majority
pavement-curling,"Stresses exerted due to PCC curling and warping: tensile stress exerted at top of PCC slab with upward curvature (top), and tensile stress exerted at bottom of PCC slab with downward curvature (bottom)",assets/pavement-curling/ccd152f55546b7a580b49fa3ddb25c935ae778744f49da9adc80c88a02fb4f55.jpg,relocated,Modeling Curling Stresses,majority
pavement-foundation-and-support,Relationship between in-situ saturated hydraulic conductivity (from air permeability tests) and percent passing no. 200 sieve (from Vennapusa et al. 2006),assets/pavement-foundation-and-support/62f422bd3c7b2aeb1d99c798e1982085ff76cec760c42f5e459b08635cab00cd.jpg,relocated,Drainage Performance Assessment,majority
pavement-friction,Pavement surface texture categories of macrotexture and microtexture,assets/pavement-friction/8d31fe1a855087a940bb927eaa3a222d80697d5326a281113031f76846cc1e5a.jpg,relocated,Mechanisms of Pavement Friction,unanimous
pavement-noise,1 1 . Preliminary catalog of pavement texture vs. average OBSI level with noise zones,assets/pavement-noise/75a1a77ff2044625e82a5c8bf3dd51e12bbf9273309845420f148d9b3bc89281.jpg,relocated,Mechanisms of Tire-Pavement Noise,unanimous
pavement-profile-scanner,Illustration of the main features of the PPS system,assets/pavement-profile-scanner/87f3307f3c89a07e3da871d5d34c527adbc6563479212a09d17de332e412a1b0.jpg,relocated,Operating Principle,unanimous
pavement-smoothness,Inclinometer profiling levels and paths,assets/pavement-smoothness/beba3c22e43858a24127825d6027fce2850f377ca71220d760fe99cea73b71f4.jpg,discarded,,single-judge
pavement-texture,Texture after diamond grinding,assets/pavement-texture/6f65470e03e712b15906f1f76babe1e20a655d1ddf0189db0b3ddca613404e16.jpg,relocated,Overview of Concrete Surface Textures,majority
pavement-warping,Typical pavement deformation under different moisture gradients,assets/pavement-warping/1b030bf63664cabca805137cb25bd1fce7494075a6bb73490fbfbff761802e59.jpg,discarded,,single-judge
penetrating-sealers,Specimen mass changes with F-T cycles,assets/penetrating-sealers/70446307ecade5b3a6485e56346bb0f059e2afb68cee6ff6210a711336f2775e.jpg,relocated,Performance by Distress Mechanism,unanimous
performance-based-mix-design,Strength gain for mortar mixtures containing silica fume,assets/performance-based-mix-design/227a768908aed3b7c4123b2bebaeef45d06812ef7f4dedb13c9ee3d12fd54b4b.jpg,discarded,,single-judge
performance-based-mix-design,Dispersing action of water-reducing agents a) flocculated paste and b) dispersed paste,assets/performance-based-mix-design/a5de329500184a44d3023a7103cb07473b0a9704bdbbc7b342378aa608abcc4a.jpg,discarded,,none
performance-based-mix-design,Effect of admixture combination on the specific surface for mixtures containing large amounts of Class C fly ash,assets/performance-based-mix-design/f2df602b5792173384207d995760cd7e83d2122af06efc7a7ae26b55cb985343.jpg,discarded,,single-judge
pervious-concrete,Compressive strength (b) Permeability (PC = Portland cement; FA = fly ash; LS = limestone powder) Figure 11. Effects of porosity on strength and permeability of pervious concrete,assets/pervious-concrete/1fdc75da9f344800a86cac51295ee5a26cde26205d32bda8174ecd87a93db0cd.jpg,relocated,Structural Properties,unanimous
pervious-concrete-pavement,Finished exposed aggregate surface,assets/pervious-concrete-pavement/c16cfa9d04f2164967ea8a0e5a13522114fbed7ec34ab4f7b762e253e7787bf5.jpg,discarded,,single-judge
portable-x-ray-fluorescence,The relationship between tested and designed SCM content,assets/portable-x-ray-fluorescence/8bc07d15ec0252f8357244931c88d8ff7a868b34cc7da61863755c549ad6dc05.jpg,discarded,,single-judge
position-coincident-measurement,The Rolling Weight Deflectometer travels at highway speeds while collecting deflection response data. Figure 2.14. Illustration of Rolling Weight Deflectometer (RWD),assets/position-coincident-measurement/33461c33dde56da7006774131662c737b53b3fb578be1e1e4c5b2ae4d6e4d6f1.jpg,discarded,,none
premature-joint-deterioration,"D DESCRIPTION: The great majority of fine spherical entrained air voidspaces at 98mm depth in the core and directly adjacent to the distressed joint (left) are filled with secondary ettringite. Microcracking, oriented sub-parallel to the distress 15x - ed joint plane, is marked in red dashed line.",assets/premature-joint-deterioration/35d40d6cdd210e987ea2e60f9962897f6b5e88b932edf32af11e418a5aca54c1.jpg,discarded,,none
premature-joint-deterioration,The drop associated with calcium oxychloride formation in cumulative heat curve,assets/premature-joint-deterioration/bb045ae88605cc8a9b5692ff0c6894aff0115181d143470da76ab95d1b1a73fe.jpg,discarded,,none
profilograph,Transverse inclinometer profile collection,assets/profilograph/787857583c1998a2fa256a564e67fb77aebd5135995658d76c5518bb52dd9dee.jpg,discarded,,single-judge
pseudo-strain-gradient,2GCI algorithm flowchart,assets/pseudo-strain-gradient/ea5d1cb3fac647e746f1c2deafedb12544bc7fb372d301baff5161c53d7cb13e.jpg,relocated,2GCI Algorithm Implementation,unanimous
quality-assurance-and-field-testing,Portable test stand,assets/quality-assurance-and-field-testing/4f6408050adbffa2f80e51f3261487150f07fd5cfb6c7cab16c6bde091018991.jpg,relocated,Material Composition Analysis,majority
real-time-profiler-rtp,Sensors mounted to texture and curing machine Figure 9. Train configuration for the sensors mounted on the paving machine and on the curing and tining machines,assets/real-time-profiler-rtp/c0c5ea498d529624e4aae9c3aabf48afc6c75a036b41c6dc35536fbb4980ffc1.jpg,relocated,Sensor Configuration and Setup,unanimous
repair-and-recycling,Illinois DOT Subgrade Rubblizing Guide,assets/repair-and-recycling/f97d652a3e62c15e98089e6520a4a7a7e2a1cffd2a3e66a8b8b3ab1a4eeda7a6.jpg,relocated,Equipment And Methods,unanimous
rolling-dynamic-deflectometer,The Texas RDD,assets/rolling-dynamic-deflectometer/43e729d3dc08d6268a22a613fb47ed729ac2fd981fbcd76d6a0b538d2fbe7f6f.jpg,relocated,Introduction to the RDD Prototype,unanimous
rolling-weight-deflectometer,The Rolling Weight Deflectometer travels at highway speeds while collecting deflection response data. Figure 2.14. Illustration of Rolling Weight Deflectometer (RWD),assets/rolling-weight-deflectometer/33461c33dde56da7006774131662c737b53b3fb578be1e1e4c5b2ae4d6e4d6f1.jpg,relocated,Methodology Overview,majority
